,word,pn
1757,子供騙し,-1
1761,思いきり,-1
1762,思い切り,-1
1763,思わしくない,-1
1764,支障,-1
1765,脂,-1
1766,脂っこい,-1
1768,歯痒い,-1
1769,耳年増,-1
1773,自縄自縛,-1
1777,七転八倒,-1
1781,七面倒臭い,-1
1782,執念深い,-1
1783,質感,-1
1784,邪険,-1
1786,邪魔,-1
1788,邪魔くさい,-1
1789,邪慳,-1
1791,寂しげ,-1
1795,寂れる,-1
1796,寂寞,-1
1800,弱々しい,-1
1801,弱り目,-1
1809,弱虫,-1
1813,守銭奴,-1
1823,手ぬるい,-1
1824,手ひどい,-1
1825,手緩い,-1
1826,手狭,-1
1830,手厳しい,-1
1831,手荒,-1
1833,手荒い,-1
1834,手酷い,-1
1835,手重い,-1
1836,手痛い,-1
1837,手薄,-1
1843,受け入れ,-1
1844,受け付け,-1
1845,呪わしい,-1
1846,臭い,-1
1847,醜い,-1
1848,重々しい,-1
1849,重苦しい,-1
1850,重重しい,-1
1851,術無い,-1
1852,峻険,-1
1854,峻厳,-1
1856,峻嶮,-1
1858,暑がり,-1
1862,暑苦しい,-1
1863,女たらし,-1
1867,女女しい,-1
1868,小,-1
1869,小汚い,-1
1870,小気味,-1
1871,小賢しい,-1
1872,小心翼翼,-1
1876,小憎らしい,-1
1877,小便,-1
1878,小面憎い,-1
1879,小利口,-1
1881,小癪,-1
1882,焦れったい,-1
1883,省き,-1
1884,笑止千万,-1
1887,上っ面,-1
1888,上滑り,-1
1890,上辷り,-1
1892,冗談,-1
1893,冗長,-1
1895,冗漫,-1
1897,情け,-1
1900,情けない,-1
1901,情強,-1
1903,色あせる,-1
1904,色気,-1
1905,尻,-1
1908,尻ごみ,-1
1909,尻軽,-1
1911,尻込み,-1
1912,伸び,-1
1913,信じ,-1
1914,寝覚め,-1
1915,寝苦しい,-1
1920,心,-1
1923,心許ない,-1
1924,心許無い,-1
1925,心苦しい,-1
1926,心無い,-1
1927,心憂い,-1
1928,新鮮味,-1
1929,深み,-1
1932,身の程知らず,-1
1936,辛気,-1
1937,辛気臭い,-1
1938,人,-1
1940,人気,-1
1942,人泣かせ,-1
1946,人聞き,-1
1948,人目,-1
1949,人恋しい,-1
1950,図々しい,-1
1951,水の泡,-1
1956,水臭い,-1
1957,嵩張る,-1
1958,寸づまり,-1
1962,寸足らず,-1
1966,世間,-1
1967,世知辛い,-1
1968,凄惨,-1
1972,凄絶,-1
1976,性悪,-1
1978,生ぬるい,-1
1979,生硬,-1
1981,生煮え,-1
1985,青臭い,-1
1986,青二才,-1
1990,脆い,-1
1991,惜しい,-1
1992,惜しくも,-1
1993,拙い,-1
1994,拙劣,-1
1996,節度,-1
1997,絶体絶命,-1
2001,絶望,-1
2003,舌先三寸,-1
2007,戦闘,-1
2009,浅はか,-1
2011,浅ましい,-1
2012,浅薄,-1
2014,浅慮,-1
2018,詮無い,-1
2019,賎しい,-1
2020,疎い,-1
2021,疎か,-1
2023,疎ましい,-1
2024,疎略,-1
2028,粗削り,-1
2032,粗雑,-1
2034,粗大,-1
2036,粗暴,-1
2040,粗末,-1
2042,粗野,-1
2044,粗笨,-1
2048,素,-1
2049,素っ気,-1
2053,素っ頓狂,-1
2055,素頓狂,-1
2057,鼠輩,-1
2061,早計,-1
2065,騒々しい,-1
2066,騒がしい,-1
2067,騒然たる,-1
2068,騒騒しい,-1
2069,増悪,-1
2070,憎々しい,-1
2071,憎体,-1
2073,息苦しい,-1
2074,俗っぽい,-1
2075,俗悪,-1
2079,俗物,-1
2083,俗離れ,-1
2087,卒爾,-1
